,company Name,CIN,ROC Name,Date of Incorporation,Registered Address,Authorised Capital,Paid Up Capital,Date of Last AGM,Date of Latest Balance sheet,Company Status
103,RAMSATYA ELECTRONICS PRIVATE LIMITED,U31909TG2003PTC040680,RoC-Hyderabad,19/03/2003,"10-3-189 & 190, FLAT NO.306,ARCHANA ARCADE IT COMPLEX, ST.JOHN'S ROAD , SECUNDERABAD-25. Telangana INDIA",₹ 500000,₹,,,DORMANT
104,ANTARA PURUKUL SENIOR LIVING LIMITED,U74120UR1995PLC018283,RoC-Uttarakhand,21/06/1995,"170, Rajpur Road, Village Partitpur Santour Near Mussorie Diversion, Dehradun Dehradun Uttarakhand INDIA 248001",₹ 100000000,₹ 82190000,,,ACTIVE
105,MHO-CABLE ACCESSORIES (INDIA) PVT LTD,U31300MH1993PTC071350,RoC-Mumbai,29/03/1993,25 SURVE INDU.ESTATESONAWALA CROSS ROAD GOREGAON EAST BOMBAY MUMBAI Maharashtra INDIA 400063,₹ 500000,₹ 110000,,,STRIKE OFF
106,PAGARE ENGINEERING PRIVATE LIMITED,U29253PN2012PTC144298,RoC-Pune,06/08/2012,GAT NO- 1214 BORAHADE WADI MOSHI PUNE Pune MH 412105 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
107,SCIENTIFIC METERS PVT LTD,U31200TG1975PTC001892,RoC-Hyderabad,26/05/1975,"23-5-480,SHALIBANDA, HYDERABAD ANDHRA PRADESH Telangana INDIA 500265",₹ 400000,₹ 126000,,,STRIKE OFF
108,TAH LUBRICATION PRIVATE LIMITED,U29253TG2011PTC076209,RoC-Hyderabad,26/08/2011,Plot.No.111C CIE(Expansion) Gandhinagar Balanagar HYDERABAD TG 500037 IN,₹ 2500000,₹ 2000000,30/09/2014,31/03/2014,Active
109,RISE INFRADEVELOPERS PRIVATE LIMITED,U70109DL2014PTC263821,RoC-Delhi,22/01/2014,195 Basement Ram Vihar Delhi East Delhi DL 110092 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
110,RDS FINANCIAL CONSULTANTS PRIVATE LIMITED,U74140DL1984PTC017861,RoC-Delhi,03/04/1984,"1005,NIRMAL TOWER, BARAKHAMBA ROAD NEW DELHI Delhi INDIA",₹ 50000,₹ 20,,,STRIKE OFF
111,GRMC ASIA PRIVATE LIMITED,U74900DL2013PTC250403,RoC-Delhi,07/04/2013,HOUSE NO 19 F/F ANAND LOK NEW DELHI South Delhi DL 110049 IN,₹ 2500000,₹ 1353910,29/09/2017,31/03/2017,Active
112,RAZIKA FINLEASE PRIVATE LIMITED,U74899DL1995PTC072583,RoC-Delhi,20/09/1995,"43 PUSA ROAD, REAR SIDE 8A BLOCK, KAROL BAGH NEW DELHI Delhi INDIA 110005",₹ 965000,₹ 965000,,,ACTIVE
113,SPAN OFFICE SOLUTIONS INDIA PRIVATE LIMITED,U51393TZ2008PTC014233,RoC-Coimbatore,18/02/2008,NO .1318 AVINASHI ROAD(RIPS SCHOOL PREMISES) OPP SUGUNA KALAYANA MANDAPAM COMBATORE TN 641004 IN,₹ 2500000,₹ 2500000,30/09/2013,31/03/2013,Active
114,HPL PROTECTION TECHNOLOGIES LIMITED,U74899DL2000PLC107001,RoC-Delhi,27/07/2000,"1/21, ASAF ALI ROAD, NEW DELHI Delhi INDIA 110002",₹ 65000000,₹ 64064500,,,AMALGAMATED
115,NARAYAN ENERGY PRIVATE LIMITED,U31200RJ2004PTC019293,RoC-Jaipur,17/05/2004,"A/57, RIICO COLONY, JAISALMER Rajasthan INDIA",₹ 1000000,₹ 100000,,,STRIKE OFF
116,HYLEX SALES PRIVATE LIMITED,U31401DL1989PTC035459,RoC-Delhi,13/03/1989,37 NEW MARKET WEST PATEL NAGARNEW DELHI Delhi INDIA,₹ 1000000,₹ 3000,,,DORMANT
117,BH ADVISORS PRIVATE LIMITED,U74140MH2006PTC164234,RoC-Mumbai,31/08/2006,402 TRISHUL GARDEN SINDHI SOCIETY CHEMBUR MUMBAI MH 400071 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
118,ALTOS ELECTRONICS PRIVATE LIMITED,U31501PN2002PTC017068,RoC-Pune,18/06/2002,8 STATE BANK COLONY SHAHUCOLLEGE ROAD ARANYESHWAR PUNE Maharashtra INDIA 411009,₹ 500000,₹ 100000,,,STRIKE OFF
119,SRUSHTI CREATIVE PRODUCTS PRIVATE LIMITED,U29253PN2013PTC148168,RoC-Pune,19/07/2013,1-A PATIL PLAZA ABOVE UNITED WESTERN BANK CHINCHWAD PUNE MH 411019 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
120,PARAMNARAYAN HEALTH CARE PRIVATE LIMITED,U74120UP2011PTC047431,RoC-Kanpur,15/11/2011,C-10 LAWYERS COLONY AGRA UP 282005 IN,₹ 5000000,₹ 5000000,25/09/2017,31/03/2017,Active
121,A S MARKETING PRIVATE LIMITED,U74140WB1998PTC087438,RoC-Kolkata,01/07/1998,2 N C DUTTA SARANISAGAR ESTATE ROOM NO G 23 KOLKATA West Bengal INDIA 700001,₹ 100000,₹ 1000,,,STRIKE OFF
122,ESRA MANAGEMENT PRIVATE LIMITED,U74140KL2012PTC031252,ROC-Ernakulam,18/05/2012,"MOTHER MARY TOWER, NEAR POLICE STATION, [BUILDING NO. III/67- B],KIDANGOOR P.O KOTTAYAM Kerala INDIA 686572",₹ 100000,₹ 100000,,,ACTIVE
123,PRIMELINK REAL ESTATES PRIVATE LIMITED,U70109PB2013PTC037515,RoC-Chandigarh,20/05/2013,49-A BRS Nagar Ludhiana Ludhiana PB 141001 IN,₹ 150000,₹ 150000,29/09/2017,31/03/2017,Active
124,SKYLINE EQUIPMENT PRIVATE LIMITED,U29253PN2011PTC141573,RoC-Pune,09/12/2011,Sector No. 7 Plot No. 129 PCNTDA Bhosari Pune Pune MH 411026 IN,₹ 100000,₹ 100000,,,Strike Off
125,FILANTOP SHOES PRIVATE LIMITED,U74140DL2011PTC217939,RoC-Delhi,21/04/2011,468 MUNDKA VILLAGE NANGLOI DELHI West Delhi DL 110041 IN,₹ 100000,₹ 100000,,,Strike Off
126,MANJUSHREE COOLING TECHNOLOGY PRIVATE LIMITED,U29253PN2013PTC147869,RoC-Pune,25/06/2013,C.S.NO. 9674 SHRI RAM DARSHAN APP. P.NO. G 1 SANGLI Sangli MH 416416 IN,₹ 500000,₹ 100000,,,Strike Off
127,SILVERLAKE HOTELS LIMITED,U55101WB2006PLC109005,RoC-Kolkata,19/04/2006,5 MIDDLETON STREET KOLKATA KOLKATA Kolkata WB 700071 IN,₹ 40500000,₹ 500000,25/09/2017,31/03/2017,Active
128,WAUM TEAM PRIVATE LIMITED,U74140KL2012PTC031485,ROC-Ernakulam,21/06/2012,"3/28B, Pulluparambil, Upasana Road, Maradu, Kochi Kerala INDIA 682304",₹ 100000,₹ 100000,,,ACTIVE
129,ANURAJ EQUIPMENTS PRIVATE LIMITED,U31909TG2004PTC042878,RoC-Hyderabad,16/03/2004,"5-2-282, 1011ST FLOOR MAHAVEER COMPLEX SECUNDERABAD Telangana INDIA 500003",₹ 2500000,₹ 100000,,,ACTIVE
130,COCHIN NEWS NETWORK MEDIA PRIVATE LIMITED,U74999KL2017PTC048611,RoC-Ernakulam,17/03/2017,38/411F5national pearl star building2FSecond FloorNear Changampuzha ParkEdappally P O KOCHI Ernakulam KL 682024 IN,₹ 100000,₹ 100000,,,Active
131,TEKNIC ELECTRIC (I) PRIVATE LIMITED,U31908MH2012PTC232474,RoC-Mumbai,21/06/2012,116 HAMMERSMITH INDUSTRIAL ESTATE OFF. S. T. ROAD MAHIM (WEST) MUMBAI Mumbai City MH 400016 IN,₹ 50000000,₹ 50000000,30/09/2016,31/03/2016,Active
132,SINE WAVE PRIVATE LIMITED,U32109DL1985PTC019924,RoC-Delhi,23/01/1985,B-148 OHKLA INDUSTRIAL AREAPHASE-I NEW DELHI 110020 Delhi INDIA,₹ 2000000,₹ 1600000,,,ACTIVE
133,STERLING COMMUNICATIONS & INFORMATION CONSULTANTS PRIVATE LIMITED,U74120DL2010PTC202819,RoC-Delhi,18/05/2010,UGF-9B Upper Ground Floor Arunachal Building 19 Barakhamba Road New Delhi New Delhi DL 110001 IN,₹ 1000000,₹ 220000,29/09/2017,31/03/2017,Active
134,CBS VACATIONS INDIA PRIVATE LIMITED,U74999DL2013PTC254803,RoC-Delhi,03/07/2013,H.No.-81 Vill.-Badusarai Post-Chhawla New Delhi South West Delhi DL 110071 IN,₹ 500000,₹ 100000,,,Active
135,ENMAX EPC PRIVATE LIMITED,U29253TG2011PTC077635,RoC-Hyderabad,24/11/2011,SURVEY NO. 15 SURARAM QUTBULLAPUR MANDAL HYDERABAD TG 500055 IN,₹ 360000,₹ 120000,30/09/2017,31/03/2017,Active
136,INDUS TECHNOTRONICS PRIVATE LIMITED,U32300KA2012PTC066640,RoC-Bangalore,08/11/2012,172/800/788MahalakshmiComplexGroundFloor12'E'Main Kaveri Nagar DCHalli-Bommanahalli Main Road Bangalore Bangalore KA 560068 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
137,SANS SOUCI ENGINEERING PVT LTD,U31101WB1985PTC038863,RoC-Kolkata,29/04/1985,DIAMOND HARBOUR ROADKHARIBERIA 24 PGS (S) West Bengal INDIA 743503,₹ 2500000,₹ 800000,,,STRIKE OFF
138,FALIT PLASTICS PRIVATE LIMITED,U25209PN2017PTC171078,RoC-Pune,22/06/2017,Flat No 9 S N 41A/2/1/24+25 TUKAI VILLA WADGAON BK PUNE Pune MH 411041 IN,₹ 1000000,₹ 100000,,,Active
139,MINAR GOLD PRIVATE LIMITED,U51398KL2010PTC027253,RoC-Ernakulam,22/12/2010,ARAFA BUILDING MAIN ROAD KANHANAGAD KL 671315 IN,₹ 10000000,₹ 10000000,30/09/2017,31/03/2017,Active
140,KRISHNIL VIMARSH PRIVATE LIMITED,U74140MH2006PTC164634,RoC-Mumbai,15/09/2006,25 SAHAKAR NAGAR NAGPUR MH 440025 IN,₹ 100000,₹ 100000,30/09/2010,31/03/2010,Strike Off
141,SATHYA INNOVATIVE SOLUTIONS (INDIA) PRIVATE LIMITED,U74900TG2008PTC060531,RoC-Hyderabad,07/08/2008,PLOT NO.15 SAI PRABHA ARUNODAYA COLONY SILICON VALLEY MADHAPUR HYDERABAD Hyderabad TG 500081 IN,₹ 2000000,₹ 500000,29/09/2017,31/03/2017,Active
142,TEKNIS ELECTRONICS PRIVATE LIMITED,U32109DL1985PTC021711,RoC-Delhi,07/08/1985,"80/50A MALVIYA NAGAR, NEW DELHI Delhi INDIA 110017",₹ 2000000,₹ 308700,,,DORMANT
143,DHIREN MERCANTILE PRIVATE LIMITED,U51900MH2008PTC183669,RoC-Mumbai,18/06/2008,E-1/3 SUNDER NAGAR MALAD WAST MUMBAII Mumbai City MH 400064 IN,₹ 100000,₹ 0,,,Strike Off
144,FABTECH ENGINEERING PRIVATE LIMITED,U31908MH2012PTC228282,RoC-Mumbai,16/03/2012,CATHEDRAL BLOCK RESIDENCY ROAD OPP. LIBERTY CINEMA SADAR NAGPUR MH 440001 IN,₹ 200000,₹ 200000,30/06/2016,31/03/2016,Active
145,ADITYA INFRABUILT PRIVATE LIMITED,U74899DL2005PTC143566,RoC-Delhi,12/12/2005,18 PUSA ROAD 1ST FLOORKAROL BAGH NEW DELHI Delhi INDIA 110005,₹ 500000,₹ 150000,,,ACTIVE
146,LUXPAL MINIATURE LAMPS PRIVATE LIMITED,U31501RJ1995PTC010622,RoC-Jaipur,29/08/1995,Rajasthan INDIA,₹ 500000,₹ 4000,,,UNDER PROCESS OF STRIKING OFF
147,PENWANI CABLES LIMITED,U31300MH1993PLC074055,RoC-Mumbai,21/09/1993,"102, RANJIT STUDIO BLDG, A,1ST FLOOR DADA SAHEB PHALKE RD, DADAR (E),MUMBAI 14, MUMBAI Maharashtra INDIA 400014",₹ 10000000,₹,,,DORMANT
148,SHOW STOPPERS INDIA PRIVATE LIMITED,U74899DL1995PTC072547,RoC-Delhi,19/09/1995,1347 SEC-C POCKET-1 VASANT KUNJ NEW DELHI Delhi INDIA,₹ 500000,₹ 99000,,,DORMANT
149,MAHARAJA REALESTATE INDIA LIMITED,U70101RJ2011PLC036816,RoC-Jaipur,21/10/2011,B-188SECTOR-4OPPOSITE MINI SECRETARIATENEAR PRATAP STADIUMCHITRAKOOTVAISHALI NAGAR JAIPUR Jaipur RJ 302021 IN,₹ 500000,₹ 500000,,,Strike Off
150,YALE ELECTRONIC SERVICES PRIVATE LIMITED,U30009KA1992PTC013151,RoC-Bangalore,14/05/1992,"NO. 33, 15TH CROSS,III BLOCKJAYANAGAR, BANGALORE. JAYANAGAR, BANGALORE. Karnataka INDIA 560011",₹ 100000,₹ 100000,,,ACTIVE
151,A & A EQUIPMENTS PRIVATE LIMITED,U31908DL2007PTC159297,RoC-Delhi,14/02/2007,N-176 PANCHSHEEL PARK NEW DELHI DL 110017 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
152,SHIVAM TECHNO PROJECTS LIMITED,U74140DL1985PLC022520,RoC-Delhi,15/11/1985,"C/O MUKESH GOYAL, E-25/B,1ST FLOOR JAWAHAR PARK, LAXMI NAGAR DELHI Delhi INDIA 110092",₹ 2500000,₹ 2490000,,,ACTIVE
153,RIK EXIM PRIVATE LIMITED,U74900GJ2007PTC052409,RoC-Ahmedabad,20/12/2007,17 RAM KRUUPA FLATS NEAR BANK OF BARODA B/H. CENTRE POINT PANCHWATI AHMEDABAD GJ 380006 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
154,DEBONAIR EQUIPMENTS PRIVATE LIMITED,U29299MH1996PTC103095,RoC-Pune,07/10/1996,"D 18 MIDC AREA , MIRAJ BLOCK MIRAJ Maharashtra INDIA 416410",₹ 1000000,₹ 950000,,,ACTIVE
155,NISHANK GARMENTS PRIVATE LIMITED,U74899DL2005PTC143629,RoC-Delhi,13/12/2005,4/910 BHOLA NATHNAGAR SHAHADRA NEW DELHI Delhi INDIA,₹ 200000,₹ 200000,,,ACTIVE
156,EMPEROR ENGINEERING PRIVATE LIMITED,U29253TN2008PTC066215,RoC-Chennai,28/01/2008,NO. 4/123K/2 MUTHAMMAL COLONY ETTAYAPURAM ROAD TUTICORIN TN 628002 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
157,NEET TUTORIALS PRIVATE LIMITED,U80904UP2016PTC085131,RoC-Kanpur,25/07/2016,31/95A S.F. IInd FLOOR M.G. MARG HAZRATGANJ LUCKNOW Lucknow UP 226001 IN,₹ 500000,₹ 100000,30/09/2017,31/03/2017,Active
158,NAVE ENGINEERING PRIVATE LIMITED,U29253TG2010PTC069092,RoC-Hyderabad,23/06/2010,G-5 IMPERIAL APARTMENTS GREEN LANDS AMEERPET HYDERABAD TG 500016 IN,₹ 500000,₹ 100000,30/09/2016,31/03/2016,Active
159,PARK MULTI ENERGIES PRIVATE LIMITED,U31909TG2002PTC038886,RoC-Hyderabad,02/05/2002,"5-4-187/3 & 4, M.G.ROAD,SECUNDERABAD-3 Telangana INDIA",₹ 100000,₹,,,DORMANT
160,SYSTEM'S ELECTRICALS PRIVATE LIMITED,U31200RJ1997PTC013662,RoC-Jaipur,29/04/1997,"244, SHOPPING CENTRE,KOTA KOTA KOTA Rajasthan INDIA",₹ 500000,₹ 500000,,,ACTIVE
161,DRLP CATERING SERVICES PRIVATE LIMITED,U15122KA2013PTC068323,RoC-Bangalore,28/03/2013,NO.113/2 MUNNEKOLAL Bangalore Bangalore KA 560037 IN,₹ 100000,₹ 100000,,,Strike Off
162,SKJ ENGINEERING PRIVATE LIMITED,U29299PN2006PTC129205,RoC-Pune,09/11/2006,SIDDHAKALA SOCIETY RH-123 'G' BLOCK MIDC SHAHUNAGAR CHINCHWAD PUNE MH 411019 IN,₹ 100000,₹ 100000,30/09/2010,31/03/2010,Active
163,ELECTROCOAT FINISHING SYSTEMS PRIVATE LIMITED,U29253PN2012PTC145570,RoC-Pune,30/11/2012,Flat No. 102 Venkatesh II Shivalaya Co-op HSG SocietySus Road Pashan PUNE Pune MH 411021 IN,₹ 100000,₹ 100000,,,Strike Off
164,APNA BHARAT NETWORK MARKETING PRIVATE LIMITED,U52590MH2003PTC143459,RoC-Mumbai,10/12/2003,104 BLDG NO 22 ADI SHAWKARACHARYA MARG POWAI VIHAR POWAI MUMBAI Maharashtra INDIA 400076,₹ 100000,₹ 100000,,,DORMANT
165,MAHATI INDUSTRIES PRIVATE LIMITED,U31501PN2013PTC147518,RoC-Pune,23/05/2013,32/33 Shankarshet Road Behind S T Work Shop Pune MH 411037 IN,₹ 50000000,₹ 14400000,29/09/2017,31/03/2017,Active
166,FRESHMENTORS COUNSELING PRIVATE LIMITED,U80903DL2014PTC267834,RoC-Delhi,05/06/2014,FLAT NO. 6 GAURI APARTMENTS SOUTH END LANE NEW DELHI South Delhi DL 110011 IN,₹ 200000,₹ 200000,30/09/2015,31/03/2015,Strike Off
167,AQUA IRON CASTING LIMITED,U29292DL2011PLC212168,RoC-Delhi,04/01/2011,4 BHANOT APARTMENTS LOCAL SHOPPING CENTRE PUSHP VIHAR NEW DELHI South Delhi DL 110062 IN,₹ 500000,₹ 500000,,,Strike Off
168,TROOP NIRMAN PRIVATE LIMITED,U70109WB2012PTC183170,RoC-Kolkata,26/06/2012,11 CROOKED LANE GROUND FLOOR KOLKATA WB 700069 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
169,RGN PROJECT CONSULTANTCY SERVICES PVT. LTD,U74140TN1993PTC024477,RoC-Chennai,25/02/1993,"NO.C.4,II FLOOR, DOLPHIN BAY,13A, KALASHETRA ROAD, THIRUVANMIYUR, MADRAS-41 THIRUVANMIYUR, MADRAS-41 Tamil Nadu INDIA",₹ 50000,₹,,,STRIKE OFF
170,BRIGHTSUN SWITCHGEARS PRIVATE LIMITED,U31200RJ2006PTC022315,RoC-Jaipur,30/03/2006,18 OPP HOTELS GANDHRAV STATION ROAD JAIPUR RJ 000000 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
171,SONNE INFRA ENGINEERING CONSULTANTS PRIVATE LIMITED,U74900TN2013PTC089697,RoC-Chennai,19/02/2013,No. S-1 A Second Floor &quot;AMAR SINDUR&quot; 43 Pantheon Road Egmore Chennai Chennai TN 600008 IN,₹ 1000000,₹ 900000,,,Active
172,SWASTIK MONEY PRIVATE LIMITED,U67120PB2010PTC034551,RoC-Chandigarh,30/12/2010,9517 JOSHI NAGAR HAIBOWAL KALAN LUDHIANA PB 141001 IN,₹ 2500000,₹ 2300000,19/08/2017,31/03/2017,Active
173,HEW PRECISION WORKS PRIVATE LIMITED,U29299PN2005PTC020809,RoC-Pune,31/05/2005,"PLOT NO 75A/1 GEN BLOOK, MIDC, BHOSARI PUNE Maharashtra INDIA 411026",₹ 100000,₹ 100000,,,ACTIVE
174,SAINATH STAMPING PRIVATE LIMITED,U31908MH2012PTC231103,RoC-Mumbai,15/05/2012,SHOP NO 10 SHREE SANKUL ASHOK NAGAR LAST BUS STOP SATPUR Nashik MH 422007 IN,₹ 500000,₹ 100000,,,Strike Off
175,D.K.SCIENTIFIC TECHNOLOGIES PRIVATE LIMITTED,U33125GJ2006PTC048625,RoC-Ahmedabad,05/07/2006,4 ASHOK CHAMBERS OPP MEDI SURGE HOSPITAL ELLISBRIDGE AHMEDABAD GJ 380006 IN,₹ 500000,₹ 100000,30/09/2014,31/03/2014,Active
176,VVVICTORY INTERNATIONAL FOUNDATION,U85300AP2020NPL114524,RoC-Vijayawada,05/05/2020,"Plot No. 23, Paradise Heights, 2nd Floor, Road No.2A, Bharathi Nagar, Behind Hotel Novotel, Vijayawada Krishna AP 520008 IN",₹ 0,₹ 0,,,Active
177,BARAMATI WIRES PVT LTD,U31300MH1992PTC066698,RoC-Pune,07/05/1992,"KADAMBARI APARTMENTSKADAM PARK, NEAR TARA TALKIES, BARAMATI PUNE Maharashtra INDIA 413102",₹ 1000000,₹ 752000,,,DORMANT
178,WANDFLOWER SOFTWARE TECHNOLOGIES PRIVATE LIMITED,U72200TG2008PTC059029,RoC-Hyderabad,07/05/2008,FLAT NO.408 SAI KRISHNA BLOCK SAI DREAM CASTLE NIZAMPET ROAD KUKATPALLY HYDERABAD Hyderabad TG 500072 IN,₹ 400000,₹ 400000,,,Strike Off
179,APAK SOLUTIONS PRIVATE LIMITED,U74999DL2018PTC330707,RoC-Delhi,12/03/2018,171 Mandakini Enclave Alaknanda New Delhi New Delhi DL 110019 IN,₹ 1000000,₹ 100000,,,Active
180,JERUEL MANAGEMENT SERVICES PRIVATE LIMITED,U93000KA2015PTC079463,RoC-Bangalore,25/03/2015,#35/1 (Area of 60 sft of total 750 sft) Shamanna Lane Murugeshpalya Bangalore Bangalore KA 560017 IN,₹ 100000,₹ 100000,,,Active
181,CITY GOLD PROPERTY DEVELOPERS PRIVATE LIMITED,U45201GJ2008PTC053574,RoC-Ahmedabad,15/04/2008,3rd Floor Sarthik Annexe Nr. Fun Republic Cinema Satellite Road Satellite Ahmedabad Ahmedabad GJ 380015 IN,₹ 100000,₹ 100000,12/08/2017,31/03/2017,Active
182,REAL INDIA ECOM OPERATOR PRIVATE LIMITED,U74999UP2017PTC098339,RoC-Kanpur,06/11/2017,26/11 WAZIR HASAN ROAD LUCKNOW Lucknow UP 226001 IN,₹ 500000,₹ 255000,,,Active
183,CLASSIER ESTATE PRIVATE LIMITED,U74899DL1995PTC072586,RoC-Delhi,20/09/1995,9-A CONNAUGHT PLACE NEW DELHI Delhi INDIA 110001,₹ 1000000,₹ 619000,,,ACTIVE
184,AVISCOUS PRIVATE LIMITED,U74999DL2018PTC330700,RoC-Delhi,12/03/2018,C-4/7 FLOOR 1 ACHARYA NIKETAN MAYUR VIHAR PHASE - 1 NEW DELHI East Delhi DL 110091 IN,₹ 100000,₹ 100000,,,Active
185,KRISHNA NITESH INFRA PRIVATE LIMITED,U70109DL2012PTC232152,RoC-Delhi,28/02/2012,A-81 LOK VIHAR PITAM PURA NEW DELHI DL 110034 IN,₹ 200000,₹ 100000,30/09/2015,31/03/2015,Strike Off
186,BALAJI COMPUWARE PRIVATE LIMITED,U30007MH2003PTC141176,RoC-Mumbai,04/07/2003,H/741 SAGAR PARKAMRUT NAGAR GHATKOPAR (WEST) MUMBAI Maharashtra INDIA 400086,₹ 200000,₹ 100000,,,DORMANT
187,SAGAR COMMERCIAL SERVICES PVT LTD,U74140DL1984PTC019297,RoC-Delhi,09/11/1984,"C-40 POCKET N BLOCK A SHALIMARBAGH,NEW DELHI. Delhi INDIA",₹ 100000,₹,,,STRIKE OFF
188,RIZMI MARKETING PRIVATE LIMITED,U52609WB2017PTC220755,RoC-Kolkata,26/04/2017,Gupta Niketan 231 B L Saha Road Room no.- 103/5 3rd Floor Kolkata Kolkata WB 700053 IN,₹ 100000,₹ 100000,,,Active
189,SOD TECHNOLOGIES PRIVATE LIMITED,U72200KL2009PTC025122,RoC-Ernakulam,04/12/2009,Ground Floor Athulya Infopark Kusumagiri Post Kakkanad Kochi Ernakulam KL 682030 IN,₹ 100000,₹ 100000,30/09/2013,31/03/2013,Active
190,DAWN COMPUTERS PRIVATE LIMITED,U30006TN1996PTC035699,RoC-Chennai,07/06/1996,"159, SHOLINGHAR ROAD,ARAKONAM 631 001 631 001 Tamil Nadu INDIA",₹ 500000,₹,,,STRIKE OFF
191,FORCE TECH MARKETING PVT LTD,U74140TN1993PTC025344,RoC-Chennai,29/06/1993,"NO.27-A, PRAKASAM STREETJANAKINAGAR VALASARAVAKKAM CHENNAI 600 083 Tamil Nadu INDIA",₹ 100000,₹,,,STRIKE OFF
192,GANPATI LENO BAGS PRIVATE LIMITED,U25209MP2017PTC043786,RoC-Gwalior,21/07/2017,C-173Countywalk Colony Near Shishukunj International School By Pass Road Jhalaria Indore Indore MP 452016 IN,₹ 5000000,₹ 2500000,,,Active
193,GESTEIN TECHNIK INDIA PRIVATE LIMITED,U29253PN2013PTC149341,RoC-Pune,01/11/2013,C - 702 S.NO. - 54 ROHAN LEHER OFF PUNE BANGLORE HIGHWAY BANER PUNE Pune MH 411045 IN,₹ 500000,₹ 100000,30/09/2016,31/03/2016,Active
194,ADAIR DUTT ELECTRONICS PVT LTD,U32109WB1984PTC037746,RoC-Kolkata,24/07/1984,"POWER TOOLS BHAWAN, 48, HEMANTA BASU SARANI, 3RD FLOOR, (FORMERLY- 2 B. B. D. BAG (EAST) KOLKATA West Bengal INDIA 700001",₹ 500000,₹ 300000,,,ACTIVE
195,CHOPRA CONSULTANCY AND LIAISON SERVICES PRIVATE LIMITED.,U74140JK1985PTC000806,RoC-Jammu,16/07/1985,"14-PERTAP GARH, JAMMU.JAMMU JAMMU AND KASHMIR JAMMU AND KASHMIR Jammu and Kashmir INDIA",₹ 99000,₹ 2000,,,STRIKE OFF
196,FRIEDRICH VIBRATORS PRIVATE LIMITED,U29253PN2013FTC149334,RoC-Pune,01/11/2013,2 Kala Niketan Hsg. Society Satara Road Pune Pune MH 411009 IN,₹ 30000000,₹ 3000010,30/09/2016,31/03/2016,Active
197,MODI SANTA FE INDIA PRIVATE LTD,U74140DL1985PTC020509,RoC-Delhi,22/03/1985,"1400 HEMKUNT TOWER, 98 NEHRU PLACE NEW DELHI Delhi INDIA 110019",₹ 5000000,₹ 1000000,,,ACTIVE
198,PKC FOODS PRIVATE LIMITED,U55205HR2017PTC071129,RoC-Delhi,13/10/2017,PLOT NO-37/2/1/3 OBC BANK BUILDING VILLAGE-CHOMA PALAM VIHAR Gurgoun Gurgaon HR 122017 IN,₹ 100000,₹ 100000,,,Active
199,SHIMJA ENGINEERS PRIVATE LIMITED,U29253PN2013PTC148192,RoC-Pune,19/07/2013,S.NO. 250 SUKHWANIBLISS FL-B-301 LINK ROAD CHINCHWAD PUNE Pune MH 411033 IN,₹ 100000,₹ 100000,,,Strike Off
200,WESTERRN INDIA MOTOR CAR COMPANY PRIVATE LIMITED,U29259GJ1991PTC015302,RoC-Ahmedabad,26/03/1991,VINOBHABE ROAD SALATWADA BARODA Gujarat INDIA 390001,₹ 500000,₹ 100300,,,ACTIVE
201,TOWER BELL ELECTRONICS PRIVATE LIMITED,U32109DL1985PTC021677,RoC-Delhi,05/08/1985,"G-9 HEMKUNT TOWER, 90 NEHRU PLACE NEW DELHI Delhi INDIA",₹ 500000,₹ 3000,,,DORMANT
202,LEBEST ENVIRONMENT SECURITY TECHNOLOGY PRIVATE LIMITED,U29253WB2012FTC180411,RoC-Kolkata,14/04/2012,53/1 MOTI LAL NEHRU ROAD KOLKATA WB 700029 IN,₹ 2500000,₹ 1299840,28/08/2017,31/03/2017,Active
203,HEARTLAND ESTATE PRIVATE LIMITED,U74899DL1995PTC072585,RoC-Delhi,28/09/1995,"48/11,COMMERCIAL CENTRE MALCHA MARG,CHANAKYAPURI NEW DELHI Delhi INDIA 110021",₹ 6000000,₹ 6000000,,,DORMANT
204,ALLIED TECHNO SYSTEMS AUTOMOTIVE PRIVATE LIMITED,U29253TN2007PTC064392,RoC-Chennai,06/08/2007,OLD No.91 NEW No.114 A.K SWAMY NAGAR IV STREET KELLYS CHENNAI Chennai TN 600010 IN,₹ 1000000,₹ 0,,,Active
205,SRI RAMKRISHNA SERVICES PRIVATE LIMITED,U74140WB1998PTC087610,RoC-Kolkata,28/07/1998,BJ-59 SALT LAKE CITY KOLKATA West Bengal INDIA 700091,₹ 1000000,₹ 827000,,,STRIKE OFF
